,1,35,31,57,38
0,april.n.01,elevation.n.03,redemption.n.02,seaway.n.01,worm.n.02
1,hassium.n.01,whitethorn.n.01,bushel.n.02,cargo.n.01,peer.n.01
2,pale_yellow.n.01,source.n.07,security.n.04,percentage.n.01,cargo.n.01
3,redemption.n.02,april.n.01,pale_yellow.n.01,season.n.03,stage_set.n.01
4,nothing.n.01,percentage.n.01,april.n.01,april.n.01,pale_yellow.n.01
5,workweek.n.01,loanword.n.01,stage_set.n.01,whitethorn.n.01,april.n.01
6,worm.n.02,connecticut.n.01,exporter.n.01,montana.n.01,registration.n.02
7,peer.n.01,billion.n.03,treatment.n.01,worm.n.02,month.n.02
8,government_accounting_office.n.01,cooperative.n.01,hectare.n.01,metric_ton.n.01,exporter.n.01
9,duty.n.03,elevator.n.01,worm.n.02,peer.n.01,cooperative.n.01
