,2,28,99,37,27
bible.n.02,,,,,0.10711757836947904
cam.n.02,2.8700012661341424e-15,0.6934011172969111,,,
dram.n.01,,,,4.2347720209045726e-105,
fiberglass.n.01,0.0,0.0,0.0,0.0,0.0
gunman.n.02,,,0.0,0.0,
hexagon.n.01,,,0.0,,
keyboard.n.01,0.0,0.0,0.0,0.0,
magnesium.n.01,,,,,0.0
microphone.n.01,1.1500768650509958,2.974796801964445e-16,,,
million.n.01,0.0,0.0,0.0,0.0,
mistake.n.01,0.0,0.0,0.0,1.9164868703745595e-29,
mode.n.06,0.0,0.0,0.0,0.8367557201180503,0.0
mortarboard.n.01,,,0.0,0.0,
phosphorus.n.01,,,,,0.9086708264084054
range.n.04,2.9995164421919535e-15,0.7382201797505811,,,
space.n.08,,,,,0.08867396262567913
transcript.n.02,,,,,0.1001821282515133
turk.n.01,0.0,0.0,0.0,0.0,3.5864070598497915e-22
version.n.06,,,,,0.03290429652328307
volt.n.01,0.0,0.0,0.0,0.0,0.0
